

Sat Feb 24 10:39:50 PST 2024
  UID   PID  PPID   C STIME   TTY           TIME CMD
  282   445     1   0  9:22AM ??         0:07.94 /usr/libexec/trustd
  202   449     1   0  9:22AM ??         2:51.27 /usr/sbin/coreaudiod
    0   454     1   0  9:22AM ??         0:00.17 /usr/sbin/distnoted agent
    0   456     1   0  9:22AM ??         0:00.05 /usr/libexec/trustdFileHelper
  202   468     1   0  9:22AM ??         0:00.11 /usr/sbin/distnoted agent
    0   469     1   0  9:22AM ??         0:00.53 /System/Library/PrivateFrameworks/SystemStatusServer.framework/Support/systemstatusd
    0   470     1   0  9:22AM ??         0:00.32 /System/Library/Frameworks/Security.framework/Versions/A/XPCServices/authd.xpc/Contents/MacOS/authd
  261   471     1   0  9:22AM ??         0:00.19 /usr/libexec/hidd
   88   473     1   0  9:22AM ??         0:00.11 /usr/sbin/distnoted agent
   65   474     1   0  9:22AM ??         0:10.14 /usr/sbin/mDNSResponder
    0   475     1   0  9:22AM ??         0:00.20 /System/Library/PrivateFrameworks/BackgroundTaskManagement.framework/Resources/backgroundtaskmanagementd -daemon
    0   477     1   0  9:22AM ??         0:00.01 /System/Library/Frameworks/NetFS.framework/Versions/A/XPCServices/PlugInLibraryService.xpc/Contents/MacOS/PlugInLibraryService
   24   479     1   0  9:22AM ??         0:04.76 /usr/libexec/symptomsd
    0   480     1   0  9:22AM ??         0:00.17 /usr/libexec/findmydeviced
    0   482     1   0  9:22AM ??         0:00.04 /usr/libexec/secinitd
    0   486     1   0  9:22AM ??         0:00.31 /usr/sbin/mDNSResponderHelper
    0   489     1   0  9:22AM ??         0:00.01 /usr/libexec/cryptexd
    0   490     1   0  9:22AM ??         0:39.71 /usr/libexec/mobileassetd
    0   491     1   0  9:22AM ??         0:00.06 /usr/libexec/containermanagerd_system --runmode=privileged --user-container-mode=current --bundle-container-mode=global --bundle-container-owner=_appinstalld --system-container-mode=none
    0   501     1   0  9:22AM ??         0:01.30 /Library/Application Support/Logitech.localized/LogiOptionsPlus/logioptionsplus_agent.app/Contents/Frameworks/logioptionsplus_updater.app/Contents/MacOS/logioptionsplus_updater
    0   502     1   0  9:22AM ??         0:00.02 /Library/PrivilegedHelperTools/com.docker.vmnetd
    0   503     1   0  9:22AM ??         0:22.61 /usr/libexec/syspolicyd
    0   506     1   0  9:22AM ??         0:01.26 /usr/libexec/wifip2pd
    0   507     1   0  9:22AM ??         0:00.81 /usr/libexec/storagekitd
    0   508     1   0  9:22AM ??         0:00.20 /usr/libexec/securityd_system
  202   510     1   0  9:22AM ??         0:00.48 Core Audio Driver (MSTeamsAudioDevice.driver)
  202   511     1   0  9:22AM ??         0:00.01 /System/Library/Frameworks/CoreAudio.framework/Versions/A/XPCServices/com.apple.audio.DriverHelper.xpc/Contents/MacOS/com.apple.audio.DriverHelper
    0   514     1   0  9:22AM ??         0:00.39 /usr/sbin/WirelessRadioManagerd
    0   515     1   0  9:22AM ??         0:00.05 /System/Library/Frameworks/AudioToolbox.framework/AudioComponentRegistrar -daemon
  262   516     1   0  9:22AM ??         0:00.12 /usr/sbin/distnoted agent
    0   517     1   0  9:22AM ??         0:00.02 /usr/libexec/colorsync.displayservices
    0   518     1   0  9:22AM ??         0:02.51 /usr/libexec/findmybeaconingd
    0   519     1   0  9:22AM ??         0:00.06 /System/Library/Frameworks/SystemExtensions.framework/Versions/A/Helpers/sysextd
  202   520     1   0  9:22AM ??         0:00.02 /System/Library/Frameworks/AudioToolbox.framework/XPCServices/com.apple.audio.SandboxHelper.xpc/Contents/MacOS/com.apple.audio.SandboxHelper
    0   521     1   0  9:22AM ??         0:00.01 /System/Library/PrivateFrameworks/WiFiPolicy.framework/XPCServices/WiFiCloudAssetsXPCService.xpc/Contents/MacOS/WiFiCloudAssetsXPCService
    0   524     1   0  9:22AM ??         0:00.44 /System/Library/CoreServices/backupd.bundle/Contents/Resources/backupd
    0   525     1   0  9:22AM ??         0:03.67 /usr/libexec/audioclocksyncd
    0   526     1   0  9:22AM ??         0:00.25 /usr/libexec/mobileactivationd
    0   527     1   0  9:22AM ??         0:00.19 /System/Library/Frameworks/Security.framework/Versions/A/XPCServices/com.apple.CodeSigningHelper.xpc/Contents/MacOS/com.apple.CodeSigningHelper
    0   528     1   0  9:22AM ??         0:00.01 /System/Library/Frameworks/ColorSync.framework/Versions/A/XPCServices/com.apple.ColorSyncXPCAgent.xpc/Contents/MacOS/com.apple.ColorSyncXPCAgent
    0   529     1   0  9:22AM ??         0:00.03 /usr/libexec/colorsyncd
  205   531     1   0  9:22AM ??         0:00.54 /System/Library/PrivateFrameworks/GeoServices.framework/Versions/A/XPCServices/com.apple.geod.xpc/Contents/MacOS/com.apple.geod
  205   532     1   0  9:22AM ??         0:00.12 /usr/sbin/distnoted agent
    0   533     1   0  9:22AM ??         0:00.87 /usr/libexec/audioanalyticsd
  202   534     1   0  9:22AM ??         0:00.03 /System/Library/PrivateFrameworks/ZhuGeSupport.framework/Versions/A/XPCServices/ZhuGeService.xpc/Contents/MacOS/ZhuGeService
  200   535     1   0  9:22AM ??         0:02.73 /System/Library/CoreServices/Software Update.app/Contents/Resources/softwareupdated
  262   536     1   0  9:22AM ??         0:00.44 /usr/sbin/appleh13camerad
    0   537     1   0  9:22AM ??         0:00.01 /usr/libexec/countryd
  262   538     1   0  9:22AM ??         0:00.06 /System/Library/Frameworks/CoreMediaIO.framework/Versions/A/Resources/UVCAssistant.systemextension/Contents/MacOS/UVCAssistant
  205   539     1   0  9:22AM ??         0:00.03 /usr/libexec/secinitd
  202   540     1   0  9:22AM ??         0:00.02 /usr/libexec/containermanagerd --runmode=agent --user-container-mode=current --bundle-container-mode=proxy --system-container-mode=none
   55   542     1   0  9:22AM ??         0:00.14 /System/Library/CoreServices/appleeventsd --server
  205   544     1   0  9:22AM ??         0:00.05 /usr/sbin/cfprefsd agent
  205   545     1   0  9:22AM ??         0:00.12 /usr/libexec/trustd --agent
  200   546     1   0  9:22AM ??         0:00.12 /usr/sbin/distnoted agent
    0   547     1   0  9:22AM ??         0:00.03 /System/Library/CoreServices/Software Update.app/Contents/Resources/suhelperd
    0   548     1   0  9:22AM ??         0:00.37 /System/Library/PrivateFrameworks/ViewBridge.framework/Versions/A/XPCServices/ViewBridgeAuxiliary.xpc/Contents/MacOS/ViewBridgeAuxiliary
  205   549     1   0  9:22AM ??         0:00.05 /usr/libexec/containermanagerd --runmode=agent --user-container-mode=current --bundle-container-mode=proxy --system-container-mode=none
    0   551     1   0  9:22AM ??         0:00.03 /usr/libexec/bootinstalld
    0   552     1   0  9:22AM ??         0:00.01 /System/Library/PrivateFrameworks/PowerLog.framework/Versions/A/XPCServices/PerfPowerTelemetryClientRegistrationService.xpc/Contents/MacOS/PerfPowerTelemetryClientRegistrationService
  270   553     1   0  9:22AM ??         0:00.02 /System/Library/DriverExtensions/com.apple.DriverKit-IOUserDockChannelSerial.dext/com.apple.DriverKit-IOUserDockChannelSerial com.apple.IOUserDockChannelSerial 0x100000e2e com.apple.DriverKit-IOUserDockChannelSerial
    0   554     1   0  9:22AM ??         0:00.17 /System/Library/Frameworks/ApplicationServices.framework/Versions/A/Frameworks/HIServices.framework/Versions/A/XPCServices/com.apple.hiservices-xpcservice.xpc/Contents/MacOS/com.apple.hiservices-xpcservice
  270   555     1   0  9:22AM ??         0:10.70 /System/Library/DriverExtensions/com.apple.AppleUserHIDDrivers.dext/com.apple.AppleUserHIDDrivers com.apple.driverkit.AppleUserHIDDrivers 0x100000e3c com.apple.AppleUserHIDDrivers
    0   558     1   0  9:22AM ??         0:00.01 /System/Library/CoreServices/liquiddetectiond
    0   559     1   0  9:22AM ??         0:11.49 /usr/libexec/searchpartyd
    0   560     1   0  9:22AM ??         0:00.02 /System/Library/PrivateFrameworks/AccountPolicy.framework/XPCServices/com.apple.AccountPolicyHelper.xpc/Contents/MacOS/com.apple.AccountPolicyHelper
    0   562     1   0  9:22AM ??         0:00.06 /System/Library/Frameworks/GSS.framework/Helpers/GSSCred
    0   563     1   0  9:22AM ??         0:00.02 /usr/libexec/online-auth-agent
    0   564     1   0  9:22AM ??         0:00.14 /System/Library/PrivateFrameworks/SiriInference.framework/Support/siriinferenced
    0   565     1   0  9:22AM ??         0:00.19 /usr/libexec/powerdatad
    0   568     1   0  9:22AM ??         0:31.15 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/mds_stores
    0   576     1   0  9:22AM ??         0:22.09 /usr/sbin/BTLEServer
  262   577     1   0  9:22AM ??         0:00.62 /System/Library/PrivateFrameworks/GeoServices.framework/Versions/A/XPCServices/com.apple.geod.xpc/Contents/MacOS/com.apple.geod
  262   578     1   0  9:22AM ??         0:00.08 /usr/libexec/secinitd
  262   580     1   0  9:22AM ??         0:00.07 /usr/sbin/cfprefsd agent
  262   581     1   0  9:22AM ??         0:00.14 /usr/libexec/trustd --agent
   89   582     1   0  9:22AM ??         0:00.14 /usr/sbin/distnoted agent
  262   584     1   0  9:22AM ??         0:00.06 /usr/libexec/containermanagerd --runmode=agent --user-container-mode=current --bundle-container-mode=proxy --system-container-mode=none
    0   588     1   0  9:22AM ??         0:00.17 /System/Library/Frameworks/LocalAuthentication.framework/Support/coreauthd
  501   589     1   0  9:22AM ??         0:04.33 /usr/sbin/distnoted agent
  501   590     1   0  9:22AM ??         0:15.52 /usr/sbin/cfprefsd agent
    0   591     1   0  9:22AM ??         0:00.04 /usr/libexec/securityd_service
    0   593     1   0  9:22AM ??         0:00.04 /System/Library/PrivateFrameworks/CoreKDL.framework/Support/corekdld
  501   594     1   0  9:22AM ??         0:04.42 /usr/libexec/UserEventAgent (Aqua)
  247   595     1   0  9:22AM ??         0:00.35 /usr/libexec/gamecontrollerd
  260   596     1   0  9:22AM ??         0:00.06 /usr/libexec/seld
  501   598     1   0  9:22AM ??         0:02.19 /usr/libexec/rapportd
  501   599     1   0  9:22AM ??         0:04.10 /usr/libexec/knowledge-agent
  501   600     1   0  9:22AM ??         0:00.27 /System/Library/CoreServices/CoreServicesUIAgent.app/Contents/MacOS/CoreServicesUIAgent
  501   601     1   0  9:22AM ??         0:00.38 /usr/sbin/universalaccessd launchd -s
  501   602     1   0  9:22AM ??         0:00.20 /System/Library/PrivateFrameworks/MobileTimer.framework/Executables/mobiletimerd
  501   603     1   0  9:22AM ??         0:00.31 /System/Library/CoreServices/PowerChime.app/Contents/MacOS/PowerChime
  501   605     1   0  9:22AM ??         0:09.64 /System/Library/CoreServices/WindowManager.app/Contents/MacOS/WindowManager
  501   606     1   0  9:22AM ??         0:01.88 /usr/libexec/lsd
  501   607     1   0  9:22AM ??         0:00.15 /System/Library/PrivateFrameworks/BackgroundTaskManagement.framework/Support/BackgroundTaskManagementAgent.app/Contents/MacOS/BackgroundTaskManagementAgent
  501   608     1   0  9:22AM ??         0:00.30 /System/Library/PrivateFrameworks/UserNotificationsCore.framework/Support/usernotificationsd
  501   609     1   0  9:22AM ??         0:16.18 /System/Library/PrivateFrameworks/UniversalAccess.framework/Versions/A/Resources/AXVisualSupportAgent.app/Contents/MacOS/AXVisualSupportAgent launchd -s
  501   610     1   0  9:22AM ??         0:05.85 /usr/libexec/secd
  501   611     1   0  9:22AM ??         0:05.24 /System/Library/Frameworks/Accounts.framework/Versions/A/Support/accountsd
  501   612     1   0  9:22AM ??         0:04.64 /System/Library/PrivateFrameworks/TCC.framework/Support/tccd
  501   613     1   0  9:23AM ??         0:00.01 /System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/CarbonCore.framework/Versions/A/XPCServices/csnameddatad.xpc/Contents/MacOS/csnameddatad
  501   614     1   0  9:23AM ??         0:00.40 /System/Library/Frameworks/CoreTelephony.framework/Support/CommCenter -L
  501   615     1   0  9:23AM ??         0:00.97 /usr/sbin/usernoted
  501   616     1   0  9:23AM ??         0:00.02 /System/Library/CoreServices/APFSUserAgent
  501   617     1   0  9:23AM ??         0:06.92 /System/Library/PrivateFrameworks/ExchangeSync.framework/Versions/Current/exchangesyncd
  501   618     1   0  9:23AM ??         0:01.87 /usr/libexec/nsurlsessiond
  501   620     1   0  9:23AM ??         0:06.77 /usr/libexec/routined LAUNCHED_BY_LAUNCHD
  501   621     1   0  9:23AM ??         0:00.16 /System/Library/Frameworks/Security.framework/Versions/A/XPCServices/TrustedPeersHelper.xpc/Contents/MacOS/TrustedPeersHelper
  501   622     1   0  9:23AM ??         0:00.19 /usr/libexec/pboard
   55   623     1   0  9:23AM ??         0:00.12 /usr/sbin/distnoted agent
  501   624     1   0  9:23AM ??         0:00.91 /System/Library/CoreServices/lockoutagent
  501   625     1   0  9:23AM ??         0:03.50 /System/Library/PrivateFrameworks/CoreDuetContext.framework/Resources/ContextStoreAgent
  501   626     1   0  9:23AM ??         0:00.70 /usr/libexec/secinitd
  501   627     1   0  9:23AM ??         0:03.07 /System/Library/PrivateFrameworks/IDS.framework/identityservicesd.app/Contents/MacOS/identityservicesd
  501   628     1   0  9:23AM ??         0:02.33 /System/Library/PrivateFrameworks/HomeKitDaemon.framework/Support/homed
  501   629     1   0  9:23AM ??         0:04.14 /System/Library/PrivateFrameworks/ScreenTimeCore.framework/Versions/A/ScreenTimeAgent
  501   630     1   0  9:23AM ??         0:04.37 /System/Library/PrivateFrameworks/DoNotDisturbServer.framework/Support/donotdisturbd
  501   631     1   0  9:23AM ??         0:00.13 /System/Library/CoreServices/CoreLocationAgent.app/Contents/MacOS/CoreLocationAgent
  501   632     1   0  9:23AM ??         0:59.02 /System/Library/CoreServices/NotificationCenter.app/Contents/MacOS/NotificationCenter
  501   633     1   0  9:23AM ??         0:10.77 /usr/libexec/trustd --agent
  501   634     1   0  9:23AM ??         0:01.06 /System/Library/Frameworks/ApplicationServices.framework/Versions/A/Frameworks/HIServices.framework/Versions/A/XPCServices/com.apple.hiservices-xpcservice.xpc/Contents/MacOS/com.apple.hiservices-xpcservice
  501   635     1   0  9:23AM ??         0:09.04 /System/Library/PrivateFrameworks/CloudKitDaemon.framework/Support/cloudd
  501   636     1   0  9:23AM ??         0:00.40 /System/Library/CoreServices/talagent
  501   637     1   0  9:23AM ??         0:00.49 /System/Library/CoreServices/sharedfilelistd
  501   638     1   0  9:23AM ??         0:01.22 /System/Library/PrivateFrameworks/TelephonyUtilities.framework/callservicesd
  501   639     1   0  9:23AM ??         0:00.28 /usr/libexec/dmd
  501   640     1   0  9:23AM ??         0:00.50 /System/Library/PrivateFrameworks/SyncedDefaults.framework/Support/syncdefaultsd
  501   641     1   0  9:23AM ??         0:02.57 /usr/libexec/containermanagerd --runmode=agent --user-container-mode=current --bundle-container-mode=proxy --system-container-mode=none
  501   642     1   0  9:23AM ??         1:03.49 /Applications/TeX/TeXShop.app/Contents/MacOS/TeXShop
  501   643     1   0  9:23AM ??         0:08.03 /System/Library/CoreServices/WiFiAgent.app/Contents/MacOS/WiFiAgent
